lemma,n
say,920
get,440
have,417
go,384
look,380
be,310
know,310
see,303
think,230
do,227
come,202
tell,181
take,171
try,164
make,140
want,134
find,132
turn,111
hear,106
keep,105
ask,101
give,101
seem,96
leave,95
sit,85
stand,82
feel,77
start,75
pull,73
stop,72
let,71
walk,67
put,66
call,63
catch,63
fall,59
hold,54
move,53
happen,51
remember,51
watch,51
follow,49
talk,49
mean,46
suppose,46
run,45
show,45
wait,45
read,44
lose,43
speak,43
need,42
notice,41
reach,41
send,40
stare,40
use,38
whisper,38
meet,37
throw,37
break,36
forget,36
point,36
die,35
hope,34
kill,34
like,34
pass,34
play,34
shake,34
help,33
stay,33
knock,32
become,30
open,30
realize,30
smile,30
win,30
work,30
believe,29
begin,28
bring,28
expect,28
fly,28
hang,28
learn,28
mutter,28
shoute,28
wonder,28
drop,27
eat,27
cry,26
carry,25
hurry,25
listen,25
snap,25
buy,24
manage,24
raise,24
wear,24
pick,23
grow,22
jump,22
lie,22
wake,22
hide,21
sound,21
answer,20
explain,19
hate,19
laugh,19
push,19
set,19
understand,19
warn,19
allow,18
arrive,18
finish,18
hurt,18
lay,18
lean,18
step,18
yell,18
change,17
face,17
join,17
lead,17
write,17
add,16
grab,16
live,16
scream,16
shut,16
steal,16
wave,16
climb,15
decide,15
gasp,15
hit,15
rise,15
save,15
seize,15
disappear,14
drive,14
remind,14
roll,14
spend,14
star,14
touch,14
wish,14
appear,13
blow,13
swing,13
teach,13
worry,13
agree,12
bend,12
bet,12
clap,12
draw,12
hand,12
head,12
slip,12
stick,12
suggest,12
wander,12
clutch,11
cover,11
creep,11
drink,11
enter,11
expel,11
fight,11
force,11
guard,11
ignore,11
imagine,11
kick,11
land,11
mind,11
miss,11
pretend,11
sleep,11
spot,11
swoop,11
blink,10
breathe,10
cheer,10
complain,10
cross,10
dare,10
don,10
fade,10
hiss,10
lock,10
nod,10
shoot,10
stretch,10
study,10
visit,10
bow,9
count,9
drag,9
leapt,9
mention,9
pay,9
pee,9
pin,9
s,9
tap,9
trust,9
twitch,9
beam,8
belong,8
choose,8
clamber,8
fill,8
fix,8
float,8
glance,8
gone,8
march,8
pack,8
share,8
sigh,8
snarl,8
swallow,8
block,7
bother,7
care,7
check,7
chuckle,7
clear,7
click,7
crash,7
dress,7
empty,7
explode,7
fit,7
gas,7
grunt,7
it,7
jerk,7
moan,7
murmure,7
pante,7
pile,7
press,7
protect,7
recognize,7
return,7
rip,7
rush,7
shiver,7
slam,7
spring,7
sprint,7
thank,7
vanish,7
wip,7
wrap,7
yeh,7
act,6
afford,6
argue,6
award,6
back,6
bear,6
beat,6
bit,6
burst,6
close,6
curse,6
dash,6
div,6
dodge,6
end,6
flick,6
flutter,6
glar,6
glitter,6
lift,6
practice,6
repeat,6
sell,6
sink,6
smell,6
snatch,6
sniff,6
split,6
squint,6
streak,6
struggle,6
tear,6
tick,6
unwrap,6
bark,5
bellow,5
bewitch,5
boil,5
burn,5
celebrat,5
collapse,5
collect,5
crack,5
enjoy,5
examine,5
excuse,5
fail,5
frighten,5
gather,5
glow,5
grin,5
hurrie,5
kiss,5
mix,5
mount,5
mumble,5
pelt,5
promise,5
punish,5
receive,5
