"year","state","state_po","county","FIPS","totalvotes","D","O","R","percent_dem","percent_gop","percent_other","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
2016,"Alabama","AL","Autauga",1001,24973,5936,865,18172,23.7696712449445,72.7665879149481,3.46374084010732,54907,76,18,1,2,24571,668,37.5
2016,"Alabama","AL","Baldwin",1003,95215,18458,3874,72883,19.3856010082445,76.5457123352413,4.0686866565142,187114,83,9,1,4,26766,693,41.5
2016,"Alabama","AL","Barbour",1005,10469,4871,144,5454,46.5278441111854,52.0966663482663,1.37548954054829,27321,46,46,0,5,16829,382,38.3
2016,"Alabama","AL","Bibb",1007,8819,1874,207,6738,21.2495747817213,76.4032203197641,2.34720489851457,22754,75,22,0,2,17427,351,39.4
2016,"Alabama","AL","Blount",1009,25588,2156,573,22859,8.42582460528373,89.3348444583398,2.23933093637643,57623,88,1,0,8,20730,403,39.6
2016,"Alabama","AL","Bullock",1011,4710,3530,40,1140,74.9469214437367,24.203821656051,0.849256900212314,10746,22,71,0,6,18628,276,39.6
2016,"Alabama","AL","Butler",1013,8732,3726,105,4901,42.6706367384334,56.1268896014659,1.20247366010078,20624,54,44,1,1,17403,331,40.6
2016,"Alabama","AL","Calhoun",1015,47864,13242,1757,32865,27.6658866789236,68.6632960053485,3.6708173157279,117714,73,21,1,3,20828,422,38.7
2016,"Alabama","AL","Chambers",1017,13900,5784,273,7843,41.6115107913669,56.4244604316547,1.96402877697842,34145,58,40,1,1,19291,374,42.4
2016,"Alabama","AL","Cherokee",1019,10733,1547,233,8953,14.4134911022081,83.4156340259014,2.17087487189043,26034,92,5,0,1,22030,375,45
2016,"Alabama","AL","Chilton",1021,18369,2911,377,15081,15.8473515161413,82.1002776416789,2.05237084217976,43744,81,10,0,8,20701,405,38
2016,"Alabama","AL","Choctaw",1023,7292,3109,77,4106,42.6357652221613,56.3082830499177,1.05595172792101,13687,56,43,0,0,20323,345,44.2
2016,"Alabama","AL","Clarke",1025,13031,5749,142,7140,44.1178727649451,54.7924180799632,1.0897091550917,25573,54,44,0,0,18979,325,40.3
2016,"Alabama","AL","Clay",1027,6624,1237,142,5245,18.6745169082126,79.1817632850241,2.14371980676328,13703,80,15,0,3,18694,276,42.1
2016,"Alabama","AL","Cleburne",1029,6593,684,145,5764,10.3746397694525,87.4260579402396,2.1993022903079,14945,93,4,0,2,19108,371,41.3
2016,"Alabama","AL","Coffee",1031,20767,4221,671,15875,20.3255164443588,76.4433957721385,3.23108778350267,50468,72,17,1,6,23380,456,37.8
2016,"Alabama","AL","Colbert",1033,24915,7312,857,16746,29.3477824603652,67.212522576761,3.43969496287377,54456,79,16,0,2,21572,399,41.7
2016,"Alabama","AL","Conecuh",1035,6585,3080,85,3420,46.7729688686409,51.9362186788155,1.29081245254366,13104,51,45,0,1,15605,331,43.2
2016,"Alabama","AL","Coosa",1037,5252,1782,89,3381,33.9299314546839,64.3754760091394,1.69459253617669,11198,66,31,0,2,18493,301,44.7
2016,"Alabama","AL","Covington",1039,15940,2387,286,13267,14.9749058971142,83.2308657465496,1.79422835633626,37847,84,13,0,1,20391,353,42.4
2016,"Alabama","AL","Crenshaw",1041,6267,1664,90,4513,26.5517791606829,72.0121270145205,1.43609382479655,13955,71,23,1,2,21343,279,40.6
2016,"Alabama","AL","Cullman",1043,37873,3798,1086,32989,10.028252316954,87.1042695323845,2.86747815066142,80499,92,1,0,4,20760,401,40.4
2016,"Alabama","AL","Dale",1045,18749,4413,528,13808,23.5372553202837,73.6465944850392,2.81615019467705,50102,70,19,1,6,22685,434,36.1
2016,"Alabama","AL","Dallas",1047,18792,12836,167,5789,68.3056619838229,30.8056619838229,0.888676032354193,43091,29,69,0,1,17245,305,38
2016,"Alabama","AL","DeKalb",1049,25826,3622,799,21405,14.0246263455433,82.8815921939131,3.09378146054364,71076,81,2,0,14,18149,359,38.8
2016,"Alabama","AL","Elmore",1051,37260,8443,1183,27634,22.6596886741814,74.1653247450349,3.17498658078368,79895,74,20,1,3,23856,550,37.8
2016,"Alabama","AL","Escambia",1053,14845,4605,305,9935,31.020545638262,66.9248905355338,2.05456382620411,38169,61,32,0,2,16540,386,39.4
2016,"Alabama","AL","Etowah",1055,44164,10442,1369,32353,23.6436916945929,73.2564985055701,3.09980979983697,104260,79,15,1,3,20204,412,40.3
2016,"Alabama","AL","Fayette",1057,8249,1362,175,6712,16.5110922536065,81.3674384773912,2.1214692690023,17110,86,11,0,1,18494,287,43.5
2016,"Alabama","AL","Franklin",1059,12040,2197,377,9466,18.2475083056478,78.6212624584718,3.1312292358804,31666,79,4,0,15,18888,333,38.3
2016,"Alabama","AL","Geneva",1061,11758,1525,239,9994,12.9698928389182,84.997448545671,2.03265861541078,26791,84,9,0,3,20199,377,41.9
2016,"Alabama","AL","Greene",1063,4880,4013,29,838,82.233606557377,17.172131147541,0.594262295081967,8934,18,81,0,1,14930,240,42.4
2016,"Alabama","AL","Hale",1065,8040,4775,92,3173,59.3905472636816,39.4651741293532,1.14427860696517,15594,40,59,0,0,18812,207,40.7
2016,"Alabama","AL","Henry",1067,8072,2292,148,5632,28.394449950446,69.7720515361744,1.83349851337958,17308,68,27,2,2,21924,353,42.7
2016,"Alabama","AL","Houston",1069,42639,10664,1247,30728,25.0099674007364,72.0654799596613,2.92455263960224,102326,68,26,1,3,23316,483,38.6
2016,"Alabama","AL","Jackson",1071,20984,3673,639,16672,17.503812428517,79.451010293557,3.04517727792604,53171,90,3,0,3,20486,336,42
2016,"Alabama","AL","Jefferson",1073,304191,156873,12550,134768,51.5705592867639,44.3037433717631,4.12569734147296,658552,51,42,1,4,26906,587,37.2
2016,"Alabama","AL","Lamar",1075,6966,1036,107,5823,14.8722365776629,83.5917312661499,1.5360321561872,14396,86,12,0,1,19026,276,42.9
2016,"Alabama","AL","Lauderdale",1077,39525,9952,1674,27899,25.1790006325111,70.5857052498419,4.23529411764706,92666,85,10,1,2,23510,405,40.8
2016,"Alabama","AL","Lawrence",1079,14829,3627,369,10833,24.4588306696338,73.0528019421404,2.48836738822577,34009,77,11,0,2,20181,337,41.2
2016,"Alabama","AL","Lee",1081,59191,21230,3344,34617,35.8669392306263,58.4835532428917,5.64950752648207,144405,69,23,3,4,23506,580,29.9
2016,"Alabama","AL","Limestone",1083,40294,9468,1759,29067,23.4972948826128,72.1372909117983,4.36541420558892,85264,78,13,1,6,25020,435,38.5
2016,"Alabama","AL","Lowndes",1085,6684,4883,50,1751,73.0550568521843,26.1968880909635,0.748055056852184,11086,25,74,0,1,18368,318,41
2016,"Alabama","AL","Macon",1087,9140,7566,143,1431,82.7789934354486,15.6564551422319,1.56455142231947,20803,16,81,0,1,16826,351,36.8
2016,"Alabama","AL","Madison",1089,163389,62822,11047,89520,38.4493448151344,54.7894901125535,6.76116507231209,339279,66,24,2,5,31933,585,37.4
2016,"Alabama","AL","Marengo",1091,10994,5615,146,5233,51.0733127160269,47.5986901946516,1.32799708932145,20669,46,52,0,2,22072,340,41.8
2016,"Alabama","AL","Marion",1093,12984,1432,278,11274,11.0289587184227,86.8299445471349,2.14109673444239,30615,92,4,0,2,19576,280,43.5
2016,"Alabama","AL","Marshall",1095,35316,4917,1166,29233,13.9228678219504,82.7755125155737,3.30161966247593,93699,83,2,1,12,20382,415,38.4
2016,"Alabama","AL","Mobile",1097,172737,72186,5435,95116,41.7895413258306,55.0640569188998,3.14640175526957,413188,59,35,2,2,22501,561,36.7
2016,"Alabama","AL","Monroe",1099,10271,4332,144,5795,42.1770032129296,56.4209911401032,1.40200564696719,22778,55,42,0,1,15749,339,40.4
2016,"Alabama","AL","Montgomery",1101,95878,58916,2959,34003,61.448924675108,35.4648615949436,3.08621372994848,228980,38,55,2,3,24975,596,34.8
2016,"Alabama","AL","Morgan",1103,50644,11254,1904,37486,22.221783429429,74.018639917858,3.75957665271306,119673,77,12,1,8,23764,443,39
2016,"Alabama","AL","Perry",1105,5278,3824,47,1407,72.4516862447897,26.657824933687,0.890488821523304,10390,30,68,0,1,13716,224,35.8
2016,"Alabama","AL","Pickens",1107,9542,3972,114,5456,41.6264933976106,57.1787885139384,1.19471808845106,19516,56,41,0,2,17153,250,42.1
2016,"Alabama","AL","Pike",1109,13168,5056,419,7693,38.3961117861482,58.4219319562576,3.18195625759417,32977,57,36,2,2,19715,432,31.6
2016,"Alabama","AL","Randolph",1111,10187,2291,191,7705,22.4894473348385,75.6356140178659,1.87493864729557,22819,75,20,0,3,19830,345,41.5
2016,"Alabama","AL","Russell",1113,19256,9579,467,9210,49.7455338595762,47.8292480265891,2.42521811383465,55544,51,42,1,4,19678,528,35.2
2016,"Alabama","AL","St. Clair",1115,38400,5589,1160,31651,14.5546875,82.4244791666667,3.02083333333333,84521,87,9,1,2,23872,508,38.9
2016,"Alabama","AL","Shelby",1117,101254,22977,5257,73020,22.6924368420013,72.1156695044146,5.19189365358406,198366,80,11,2,6,33313,740,37.3
2016,"Alabama","AL","Sumter",1119,6411,4746,84,1581,74.0290126345344,24.6607393542349,1.3102480112307,13552,24,73,1,1,14156,301,37.2
2016,"Alabama","AL","Talladega",1121,33407,12121,672,20614,36.2828149788966,61.7056305564702,2.01155446463316,81845,64,32,0,2,19410,368,40
2016,"Alabama","AL","Tallapoosa",1123,19486,5519,373,13594,28.3228984912245,69.7629067022478,1.91419480652776,41428,69,27,0,2,21434,382,42
2016,"Alabama","AL","Tuscaloosa",1125,82700,31762,3215,47723,38.4062877871826,57.7061668681983,3.88754534461911,196824,64,30,1,3,22637,570,31.4
2016,"Alabama","AL","Walker",1127,29472,4497,709,24266,15.2585504885993,82.335776330076,2.40567318132465,66622,90,5,0,2,20698,402,41.8
2016,"Alabama","AL","Washington",1129,8533,2374,117,6042,27.8213992734091,70.8074534161491,1.37114731044181,17284,65,24,1,1,20395,318,39.8
